Actual Close,Predicted Close
755.0,756.8611
780.0,746.87775
780.0,771.5977
785.0,772.2236
785.0,777.04565
790.0,776.9259
800.0,781.84875
800.0,791.84937
800.0,791.82086
830.0,791.67035
870.0,821.5825
870.0,861.81165
890.0,860.39026
870.0,880.3385
860.0,858.9563
865.0,849.7899
880.0,855.1096
880.0,870.3913
865.0,870.3318
855.0,855.3866
880.0,845.49756
885.0,869.96765
910.0000000000001,875.0565
895.0000000000001,899.605
900.0000000000001,884.2699
900.0000000000001,889.0851
885.0,888.8187
885.0,874.2404
900.0000000000001,874.13434
845.0,888.7158
835.0,836.347
850.0,825.2848
835.0,838.9381
825.0,826.1167
820.0,815.9803
825.0,810.5576
845.0,814.8476
855.0,833.9068
865.0,844.4038
860.0,853.9894
840.0,849.2023
870.0,829.75494
860.0,857.22797
845.0,849.2075
835.0,834.6948
830.0,824.5359
805.0,819.47394
825.0,796.14233
815.0,813.3298
815.0,805.6613
810.0,805.02893
820.0,800.2023
800.0,809.1201
820.0,791.0231
800.0,808.298
790.0,790.9177
795.0,780.2947
805.0,784.3109
810.0,794.3507
800.0,799.87134
805.0,790.60547
800.0,794.5266
775.0,790.1
775.0,766.4063
775.0,764.88184
775.0,765.307
770.0,765.702
770.0,761.1354
765.0,760.75745
760.0,756.0549
770.0,751.0142
780.0,760.1351
775.0,770.40497
765.0,766.1393
765.0,756.1108
760.0,755.48486
725.0,750.9849
720.0,718.03033
750.0,711.1406
735.0,739.6953
755.0,728.3621
765.0,745.9461
765.0,756.46625
760.0,756.47504
760.0,751.18134
745.0,750.821
735.0,736.5955
730.0,726.5928
730.0,721.7708
720.0,722.02893
725.0,712.8789
735.0,717.1163
730.0,727.13007
730.0,722.7672
725.0,722.1184
725.0,717.16187
720.0,716.9092
730.0,712.2721
730.0,721.8087
730.0,722.50104
745.0,722.4045
745.0,736.9275
725.0,737.46246
720.0,717.7176
720.0,712.0528
715.0,712.313
690.0,707.9827
700.0,683.9641
700.0,692.2736
695.0,693.47955
685.0,688.707
650.0,678.6183
640.0,644.7495
640.0,632.9998
640.0,633.171
615.0,634.12177
640.0,610.9248
640.0,632.1144
650.0,634.728
