Actual Close,Predicted Close
2420.0,2422.7095
2490.0,2442.7036
2540.0,2506.3752
2630.0,2558.0203
2670.0,2643.487
2700.0,2686.5322
2670.0,2715.4946
2600.0,2688.0366
2670.0,2621.0532
2660.0,2685.2527
2630.0,2682.2368
2630.0,2653.0298
2650.0,2651.5276
2650.0,2670.9824
2650.0,2671.8381
2670.0,2670.955
2740.0,2689.331
2720.0,2756.9944
2700.0,2739.0771
2640.0,2717.215
2690.0,2658.9316
2680.0,2705.4983
2690.0,2699.0828
2700.0,2707.4492
2810.0,2716.9277
2750.0,2823.9863
2730.0,2766.431
2760.0,2743.6167
2750.0,2773.6343
2750.0,2765.292
2680.0,2764.8914
2620.0,2696.6653
2600.0,2637.6172
2670.0,2617.9924
2710.0,2685.3132
2730.0,2726.907
2730.0,2745.2427
2850.0,2743.5835
2810.0,2860.594
2870.0,2821.9902
2950.0,2879.8813
2880.0,2961.7139
2830.0,2888.0881
2880.0,2839.215
2880.0,2893.5486
2910.0,2894.299
2880.0,2924.3552
2920.0,2892.1987
2870.0,2933.623
2690.0,2880.953
2680.0,2700.8179
2740.0,2694.5664
2770.0,2756.7864
2930.0,2786.8242
2920.0,2944.887
2870.0,2929.593
2850.0,2874.4355
2840.0,2855.8174
2750.0,2848.2532
2720.0,2759.526
2790.0,2731.8052
2780.0,2803.2397
2780.0,2793.8428
2660.0,2791.721
2730.0,2672.8503
2730.0,2739.8765
2720.0,2743.49
2710.0,2732.4805
2750.0,2721.8699
2750.0,2760.8174
2790.0,2761.7178
2800.0,2800.4233
2840.0,2810.6675
2890.0,2850.0881
2860.0,2900.404
2910.0,2868.9927
2900.0,2920.2405
2900.0,2910.0532
2900.0,2910.4436
2860.0,2911.2993
2830.0,2870.9744
2870.0,2842.239
2870.0,2884.624
2900.0,2883.8164
3030.0,2913.1658
3100.0,3046.1836
3190.0,3111.946
3130.0,3200.5513
3170.0,3125.4666
3130.0,3177.1035
3180.0,3130.8218
3180.0,3192.092
3230.0,3186.2634
3220.0,3241.71
3250.0,3222.6836
3320.0,3257.7488
3090.0,3331.7217
3180.0,3060.6768
3230.0,3199.4404
3190.0,3240.8796
3180.0,3185.8337
3240.0,3179.8054
3230.0,3247.5566
3220.0,3225.2495
3210.0,3215.1045
3280.0,3205.1943
3280.0,3285.6848
3270.0,3272.791
3260.0,3261.6636
3360.0,3252.4465
3470.0,3369.0205
3490.0,3476.6206
3520.0,3476.2568
3530.0,3510.63
3520.0,3517.1106
3560.0,3505.3965
3610.0,3558.371
3600.0,3607.458
3560.0,3581.6304
3550.0,3538.8235
3470.0,3538.9072
3490.0,3442.2214
3490.0,3489.3708
3520.0,3477.4888
3850.0,3512.56
3670.0,3907.9216
3760.0,3567.6658
3650.0,3773.1118
3660.0,3586.8708
3690.0,3651.8928
3700.0,3675.78
3740.0,3678.0452
3690.0,3725.4504
3780.0,3646.5894
3910.0,3782.8342
3810.0,3907.9333
3920.0,3732.273
3870.0,3932.2734
3830.0,3805.7861
3810.0,3793.4658
3890.0,3777.0127
3800.0,3885.812
3820.0,3728.9055
3820.0,3804.5974
3870.0,3782.0713
3870.0,3849.7646
3880.0,3824.796
3850.0,3843.4333
3900.0,3798.536
3780.0,3879.1265
3740.0,3695.46
3730.0,3705.7173
3690.0,3694.181
3680.0,3643.6646
3660.0,3644.5444
3680.0,3617.8157
3630.0,3649.0469
3640.0,3575.7864
3620.0,3608.7422
3790.0,3575.7954
3930.0,3798.0715
4040.0,3909.8462
4010.0,4009.6174
