Actual Close,Predicted Close
1335.0,1399.2164
1345.0,1365.9565
1350.0,1363.6781
1360.0,1369.1418
1315.0,1378.07
1330.0,1348.804
1335.0,1347.7002
1315.0,1351.7949
1325.0,1338.8114
1365.0,1340.2864
1390.0,1368.7643
1610.0,1395.437
1625.0,1558.4512
1715.0,1617.907
1705.0,1691.3656
1700.0,1701.6055
1585.0,1701.994
1625.0,1623.2783
1630.0,1641.688
1520.0,1659.1174
1520.0,1582.9403
1595.0,1561.5178
1565.0,1611.8441
1565.0,1599.8531
1565.0,1589.1405
1595.0,1582.5762
1555.0,1600.9688
1595.0,1575.4908
1565.0,1597.3638
1580.0,1583.169
1515.0,1590.8824
1520.0,1547.4985
1580.0,1540.7863
1630.0,1586.3452
1565.0,1636.4686
1580.0,1598.4617
1610.0,1596.5576
1610.0,1620.4642
1630.0,1627.669
1700.0,1643.8223
1640.0,1700.4421
1680.0,1668.6249
1695.0,1689.1631
1670.0,1707.9991
1750.0,1693.9529
1810.0,1751.7788
1805.0,1812.2286
1780.0,1818.651
1775.0,1798.4446
1720.0,1792.167
1785.0,1752.049
1735.0,1796.8374
1730.0,1769.7892
1705.0,1758.1705
1675.0,1736.2905
1730.0,1707.8312
1685.0,1743.062
1715.0,1715.5992
1750.0,1729.059
1750.0,1758.4498
1755.0,1763.3026
1750.0,1766.7008
1795.0,1764.2053
1755.0,1800.1451
1810.0,1778.5594
1720.0,1817.395
1600.0,1757.903
1600.0,1654.7123
1710.0,1635.9022
1695.0,1719.5154
1670.0,1726.0101
1680.0,1700.1923
1700.0,1697.5825
1735.0,1711.3344
1765.0,1740.6835
1740.0,1769.6532
1730.0,1756.0618
1735.0,1746.021
1695.0,1750.9092
1710.0,1724.4237
1685.0,1731.9425
1680.0,1716.4357
1665.0,1708.7065
1660.0,1695.1526
1670.0,1687.1365
1680.0,1691.735
1670.0,1698.9557
1650.0,1691.1926
1645.0,1672.8495
1640.0,1664.8147
1690.0,1660.2103
1680.0,1697.5228
1665.0,1698.8739
1690.0,1685.9882
1690.0,1702.0792
1790.0,1707.1083
1750.0,1784.816
1710.0,1771.0857
1735.0,1734.9299
1715.0,1748.6042
1715.0,1739.9598
1740.0,1739.082
1705.0,1758.8293
1695.0,1735.7742
1680.0,1721.4772
1670.0,1707.0216
1675.0,1696.0754
1690.0,1697.0695
1690.0,1707.9678
1665.0,1709.0458
1665.0,1688.7046
1660.0,1683.5437
1650.0,1679.6362
1655.0,1671.813
1645.0,1674.2012
1605.0,1667.6842
1600.0,1636.0109
1610.0,1624.9048
1665.0,1630.9989
1670.0,1673.7728
1675.0,1686.5428
1660.0,1690.0836
1645.0,1678.5248
1685.0,1665.1223
1725.0,1694.1074
1705.0,1733.2356
1710.0,1726.2489
1700.0,1727.1869
1670.0,1720.8939
1685.0,1697.844
1680.0,1705.32
1685.0,1704.638
1695.0,1707.5968
1685.0,1714.8972
1685.0,1707.6644
1710.0,1704.7727
1685.0,1722.9055
1670.0,1707.8134
1645.0,1692.2921
1660.0,1670.9092
1640.0,1678.5627
1640.0,1666.4336
1655.0,1662.9176
1640.0,1673.2146
1655.0,1663.7251
1660.0,1671.5125
1655.0,1677.0387
1605.0,1674.0259
1620.0,1635.6732
1715.0,1638.3295
1650.0,1712.9279
1640.0,1681.2849
1620.0,1662.496
1605.0,1644.5781
1615.0,1630.8256
1625.0,1636.3533
1615.0,1645.7249
1540.0,1639.4706
1510.0,1580.7642
1545.0,1543.3931
1540.0,1561.5818
1560.0,1564.0365
1565.0,1576.8921
1555.0,1581.9697
1585.0,1573.9005
1540.0,1592.9434
1525.0,1565.6027
1540.0,1547.245
1535.0,1555.7252
1510.0,1556.3749
1520.0,1538.272
1490.0,1540.3478
1545.0,1519.732
1525.0,1553.2635
1515.0,1548.416
1530.0,1537.1855
1510.0,1544.5726
1500.0,1532.6174
1490.0,1521.7986
1500.0,1512.3723
1505.0,1517.7145
1520.0,1523.3367
1500.0,1535.1732
1465.0,1523.23
1475.0,1493.6357
1465.0,1492.9467
1460.0,1487.4059
1480.0,1482.2251
1535.0,1494.9243
1545.0,1538.0477
1605.0,1556.3196
1635.0,1602.3109
1640.0,1635.9369
1615.0,1646.9684
1625.0,1631.5188
1655.0,1637.568
1645.0,1665.4889
1660.0,1667.0792
1645.0,1678.7157
1655.0,1670.6144
1675.0,1675.702
1700.0,1692.0448
1715.0,1713.9751
1740.0,1728.8315
1685.0,1749.5989
1685.0,1711.4923
1670.0,1703.1064
1640.0,1692.9531
1645.0,1669.6472
1705.0,1668.9219
1700.0,1714.8279
1695.0,1720.3547
1705.0,1714.0411
1755.0,1718.9601
1690.0,1758.7013
1695.0,1718.1527
1695.0,1712.688
1740.0,1714.8234
1740.0,1751.4036
1740.0,1759.706
1800.0,1759.6555
1895.0,1805.4133
1900.0,1889.1829
1925.0,1907.0582
1960.0,1927.5442
1935.0,1960.9446
1970.0,1949.6272
1980.0,1979.8011
1945.0,1997.027
1930.0,1973.1583
1950.0,1958.9983
2010.0,1974.8392
2010.0,2025.9033
2090.0,2030.0697
2160.0,2092.2168
2070.0,2155.929
2040.0,2085.0706
1995.0,2054.0938
2140.0,2021.0767
2180.0,2143.893
2330.0,2192.8398
2300.0,2319.8865
2320.0,2298.388
2310.0,2312.9575
2310.0,2312.1172
2360.0,2320.904
2370.0,2373.1848
2350.0,2388.231
2390.0,2371.725
2330.0,2407.4475
2380.0,2355.2893
2480.0,2397.6855
2440.0,2487.7822
2460.0,2448.2415
2450.0,2462.8477
2430.0,2456.2585
2510.0,2441.5376
2480.0,2517.6802
2470.0,2491.5662
2420.0,2482.4229
2410.0,2439.6843
2430.0,2433.5513
2470.0,2453.1733
2480.0,2487.4272
2600.0,2491.8662
2850.0,2597.1597
2710.0,2824.77
2670.0,2674.1008
2640.0,2651.5586
2660.0,2645.767
2660.0,2682.1614
2680.0,2688.2683
2630.0,2706.8965
2660.0,2654.829
2680.0,2681.7815
2720.0,2694.5842
2710.0,2725.286
2550.0,2708.4587
2690.0,2558.008
2640.0,2702.8115
2730.0,2650.5042
2700.0,2734.4421
2550.0,2698.1924
2480.0,2559.1855
2600.0,2508.6157
2540.0,2628.6196
2540.0,2565.3508
2600.0,2558.8418
2640.0,2609.7107
2580.0,2639.9277
2470.0,2578.524
2510.0,2481.612
2640.0,2528.7842
2540.0,2652.8162
2630.0,2551.626
2790.0,2634.82
2700.0,2782.5764
2540.0,2684.796
2300.0,2544.514
2350.0,2347.0598
2540.0,2409.6826
2540.0,2584.9272
2520.0,2565.8328
2470.0,2525.969
2360.0,2471.4368
2330.0,2373.108
2270.0,2351.942
2290.0,2303.796
2200.0,2320.7407
2160.0,2239.4658
2200.0,2196.122
2230.0,2224.966
2280.0,2247.9053
2260.0,2285.6199
2190.0,2264.8647
2180.0,2201.8093
2130.0,2193.856
2170.0,2157.2224
2150.0,2192.5664
2280.0,2179.5852
2280.0,2287.6458
2410.0,2291.2102
2440.0,2399.472
2420.0,2428.9675
2510.0,2412.3582
2500.0,2500.0857
2550.0,2500.9492
2540.0,2553.6414
2620.0,2550.9495
2610.0,2629.5183
2560.0,2620.625
2500.0,2575.4626
2490.0,2525.1685
2490.0,2520.8376
2450.0,2520.6262
2520.0,2479.0447
2470.0,2536.937
2510.0,2483.3342
2510.0,2514.1614
2480.0,2511.4512
2460.0,2482.9841
2480.0,2467.3845
2490.0,2489.7056
2450.0,2501.2075
2560.0,2465.381
2530.0,2567.0554
2500.0,2537.7126
2420.0,2509.3752
2460.0,2440.7014
2480.0,2482.7063
2480.0,2502.904
2600.0,2499.2769
2580.0,2604.9595
2550.0,2579.4314
2420.0,2549.604
2500.0,2436.5542
2520.0,2519.637
2520.0,2541.751
2590.0,2537.5972
2600.0,2597.8518
2670.0,2601.7996
2660.0,2664.223
2660.0,2652.6658
2620.0,2656.5732
2610.0,2626.033
2640.0,2625.7961
2680.0,2659.2708
2620.0,2695.4436
2700.0,2633.6882
2730.0,2710.2908
2740.0,2732.5955
2730.0,2736.9033
2680.0,2726.8884
2650.0,2683.7407
2610.0,2664.2358
2590.0,2632.864
2570.0,2617.492
2650.0,2597.6787
2630.0,2668.3442
2620.0,2638.1802
2650.0,2623.0752
2750.0,2650.2966
2880.0,2743.2908
2860.0,2860.1592
3100.0,2829.1323
3140.0,3072.0999
3160.0,3090.0881
3030.0,3117.6985
3150.0,3005.1248
3110.0,3170.8508
3070.0,3118.2563
3100.0,3089.7163
3060.0,3125.9705
3010.0,3073.4253
3000.0,3023.2405
2940.0,3014.343
2970.0,2947.8323
2910.0,2979.5017
2910.0,2907.2893
3050.0,2910.4265
3000.0,3044.924
3030.0,2968.498
3000.0,3007.2192
3000.0,2978.6714
3020.0,2991.8792
3020.0,3019.0627
3110.0,3020.209
3100.0,3112.7634
3080.0,3086.8162
3000.0,3070.8655
3020.0,2998.536
3090.0,3036.875
3010.0,3102.934
3010.0,3005.2432
2950.0,3016.7498
2960.0,2954.6755
3030.0,2972.119
2950.0,3035.9248
2940.0,2939.1301
2970.0,2939.832
2900.0,2970.9924
