Actual Close,Predicted Close
8475.0,8644.228
8500.0,8481.814
8450.0,8506.982
8700.0,8482.603
8725.0,8707.434
8850.0,8756.315
8825.0,8877.199
8900.0,8868.6
8825.0,8931.924
8875.0,8872.564
8950.0,8904.992
8875.0,8961.188
8700.0,8900.191
8725.0,8747.89
8750.0,8741.815
8700.0,8752.52
8675.0,8708.289
8725.0,8678.179
8675.0,8709.504
8775.0,8668.11
8750.0,8742.722
8600.0,8726.66
8625.0,8609.183
8475.0,8621.199
8400.0,8505.086
8425.0,8442.952
8575.0,8463.271
8575.0,8592.398
8450.0,8603.733
8550.0,8504.35
8325.0,8575.272
8325.0,8395.923
8300.0,8381.332
8375.0,8358.088
8400.0,8415.687
8500.0,8435.747
8825.0,8511.278
8700.0,8771.95
8675.0,8675.09
8800.0,8651.192
8825.0,8746.331
8750.0,8777.878
8800.0,8732.569
8775.0,8781.154
8725.0,8774.297
8750.0,8746.138
8800.0,8772.971
8825.0,8821.207
8900.0,8848.984
8925.0,8912.859
9000.0,8935.347
9025.0,8995.128
9125.0,9016.161
9200.0,9096.814
9150.0,9161.918
9050.0,9129.057
9050.0,9048.161
8925.0,9039.405
9000.0,8938.194
9000.0,8992.4795
9000.0,8997.497
8925.0,9002.734
8925.0,8943.969
8825.0,8939.696
8800.0,8858.035
8775.0,8832.045
8700.0,8808.447
8775.0,8746.248
9000.0,8800.905
9000.0,8985.976
9125.0,8997.012
9025.0,9103.661
9050.0,9027.814
9150.0,9047.719
9150.0,9129.695
9250.0,9141.957
9050.0,9233.235
9200.0,9082.96
9150.0,9199.183
9100.0,9164.242
9125.0,9128.895
9100.0,9143.892
9150.0,9122.492
9150.0,9159.775
9075.0,9158.873
9050.0,9096.148
9050.0,9066.259
9000.0,9058.247
9050.0,9014.422
9125.0,9048.966
9050.0,9109.996
9050.0,9054.936
9075.0,9052.61
9150.0,9070.622
9075.0,9135.419
9050.0,9083.41
9050.0,9065.347
9075.0,9065.21
9025.0,9088.945
9050.0,9053.501
9025.0,9074.117
9175.0,9055.065
9125.0,9176.982
9200.0,9143.957
9175.0,9206.423
9150.0,9187.079
9150.0,9166.727
9150.0,9162.446
9100.0,9160.388
9150.0,9119.009
9350.0,9154.943
9225.0,9318.848
9125.0,9231.687
9125.0,9151.59
9125.0,9138.618
9200.0,9135.291
9250.0,9196.954
9150.0,9243.542
9275.0,9169.538
9200.0,9266.952
9400.0,9210.842
9400.0,9376.162
9400.0,9386.986
9350.0,9399.995
9300.0,9361.608
9300.0,9319.913
9250.0,9315.241
9175.0,9273.105
9300.0,9208.55
9300.0,9301.65
9200.0,9305.756
9275.0,9228.768
9200.0,9280.363
9250.0,9218.595
9200.0,9256.099
9175.0,9214.792
9225.0,9193.235
9225.0,9229.707
9225.0,9232.501
9150.0,9235.388
9175.0,9175.248
9125.0,9191.19
9125.0,9149.835
9100.0,9148.118
9075.0,9125.9795
9100.0,9103.707
9000.0,9120.443
9000.0,9038.901
9075.0,9031.065
9150.0,9086.55
9125.0,9150.692
9075.0,9135.853
9000.0,9095.071
8950.0,9028.898
8875.0,8980.974
8825.0,8914.267
9075.0,8866.923
9200.0,9064.349
9200.0,9178.427
9075.0,9192.341
9025.0,9094.918
9050.0,9045.781
8925.0,9058.897
8925.0,8960.23
9050.0,8954.337
9075.0,9053.356
9100.0,9082.247
8950.0,9107.81
8850.0,8987.621
8750.0,8895.497
8975.0,8801.103
8850.0,8972.557
8775.0,8882.0205
8875.0,8817.241
8725.0,8885.606
8700.0,8766.088
8850.0,8735.556
8750.0,8849.291
8600.0,8774.991
8850.0,8650.304
8900.0,8838.1
9050.0,8888.967
8975.0,9020.032
9000.0,8968.28
9000.0,8991.534
8825.0,8994.035
8875.0,8859.666
8925.0,8893.5625
9050.0,8937.977
9075.0,9049.341
9075.0,9081.341
8875.0,9087.637
8775.0,8926.344
8875.0,8828.818
8925.0,8893.831
8925.0,8937.295
8875.0,8940.203
8875.0,8896.727
8900.0,8888.22
8975.0,8902.769
8950.0,8962.104
8925.0,8945.795
8900.0,8926.068
8800.0,8904.314
8825.0,8823.675
8750.0,8839.21
8750.0,8781.186
8700.0,8779.84
8675.0,8739.549
9050.0,8716.908
9225.0,9020.481
9200.0,9179.864
9250.0,9178.269
9300.0,9224.988
9325.0,9270.665
9325.0,9302.79
9375.0,9314.622
9400.0,9365.046
9400.0,9396.672
9425.0,9407.004
9350.0,9432.189
9475.0,9374.486
9575.0,9470.637
9575.0,9555.753
9625.0,9566.844
9550.0,9610.476
9575.0,9551.247
9700.0,9566.503
9725.0,9664.357
9700.0,9694.862
9750.0,9684.547
9675.0,9727.071
9625.0,9670.545
9625.0,9629.717
9600.0,9623.488
9525.0,9602.184
9500.0,9540.925
9350.0,9515.415
9550.0,9388.6875
9650.0,9540.989
9550.0,9629.237
9700.0,9567.423
9700.0,9693.467
9575.0,9700.356
9625.0,9611.444
9700.0,9645.973
9800.0,9705.406
9725.0,9796.715
9850.0,9746.508
9950.0,9850.351
9875.0,9935.669
10025.0,9888.627
9975.0,10011.412
9875.0,9974.027
9825.0,9896.776
9800.0,9840.4375
9875.0,9805.376
10000.0,9856.915
9875.0,9960.22
9825.0,9870.478
9750.0,9830.272
9800.0,9757.682
9950.0,9792.022
10125.0,9916.431
10150.0,10078.989
10000.0,10128.006
10325.0,10027.569
10150.0,10296.888
10150.0,10165.767
10175.0,10183.851
10125.0,10189.854
10125.0,10149.975
10100.0,10142.518
10075.0,10112.559
10050.0,10083.658
10075.0,10052.826
10075.0,10064.233
9850.0,10060.084
9900.0,9875.394
9525.0,9898.635
9850.0,9580.372
9825.0,9824.214
9475.0,9799.885
9525.0,9540.411
9475.0,9558.976
9475.0,9505.441
9350.0,9510.18
9725.0,9407.928
9950.0,9716.118
9775.0,9917.811
9625.0,9812.995
9800.0,9697.843
9800.0,9821.585
9550.0,9823.162
9850.0,9626.321
9800.0,9847.585
9700.0,9806.526
9375.0,9733.046
9525.0,9450.936
9550.0,9530.554
9500.0,9537.469
9600.0,9500.363
9750.0,9575.521
9475.0,9701.096
9375.0,9494.047
9425.0,9406.309
9300.0,9427.61
9300.0,9328.761
9150.0,9327.1
9000.0,9202.549
9250.0,9073.336
9275.0,9262.269
9350.0,9291.608
9450.0,9364.636
9475.0,9450.414
9325.0,9479.605
9525.0,9363.612
9300.0,9518.411
9250.0,9340.506
9200.0,9293.033
9200.0,9235.582
9050.0,9226.851
9425.0,9099.507
9600.0,9389.643
9600.0,9545.172
9600.0,9570.811
9500.0,9580.191
9750.0,9500.671
9925.0,9700.712
9875.0,9859.753
9900.0,9853.033
10000.0,9888.491
9825.0,9974.772
9950.0,9844.653
10050.0,9940.363
10075.0,10019.677
10100.0,10055.208
10075.0,10082.715
10075.0,10064.425
10050.0,10062.036
9950.0,10036.853
9800.0,9950.667
10100.0,9816.2705
10125.0,10042.326
10100.0,10072.239
10175.0,10080.112
10075.0,10147.316
10300.0,10075.433
10325.0,10268.469
10250.0,10301.69
10175.0,10267.585
10275.0,10205.505
10375.0,10279.521
10200.0,10362.777
9875.0,10230.88
10000.0,9955.441
10100.0,10011.906
10225.0,10074.093
10150.0,10187.539
10200.0,10138.368
10300.0,10186.893
10200.0,10269.6
10225.0,10201.864
10325.0,10228.466
10375.0,10309.22
10425.0,10363.886
10425.0,10420.628
10325.0,10431.357
10325.0,10354.244
10325.0,10345.569
10200.0,10333.654
10350.0,10225.557
10225.0,10335.086
10325.0,10227.146
10275.0,10310.605
10175.0,10262.626
10300.0,10185.596
10250.0,10277.773
10300.0,10238.263
10275.0,10290.31
10350.0,10271.589
10425.0,10342.436
10475.0,10411.467
10425.0,10469.933
10500.0,10441.764
10625.0,10508.376
10900.0,10614.211
10775.0,10860.512
10950.0,10784.242
10800.0,10946.865
10850.0,10817.853
10700.0,10857.593
10650.0,10711.072
10325.0,10650.712
10550.0,10352.267
10500.0,10495.504
